stop_lat,stop_code,stop_lon,stop_id,stop_url,parent_station,stop_desc,stop_name,location_type,zone_id
49.04061,59498,-123.079978,12207,,,,Southbound 52 St @ Canoe Pass Way,0,BUS ZN
49.148689,58038,-122.645576,12200,,,,Northbound 208 St @ 80 Ave,0,BUS ZN
49.152061,58102,-122.645658,12201,,,,Northbound 208 St @ 83 Ave,0,BUS ZN
49.155837,58421,-122.645607,12202,,,,Northbound 208 St @ 84 Ave,0,BUS ZN
49.162842,58523,-122.646928,12203,,,,Westbound 88 Ave @ 208 St,0,BUS ZN
49.198954,59228,-122.757007,9742,,,,Westbound 108 Ave @ 168 St,0,BUS ZN
49.163125,59958,-123.140081,10519,,,,Northbound Minoru Blvd @ Granville Ave,0,BUS ZN
49.263646,53056,-122.869223,3088,,,,Westbound Como Lake Ave @ Blue Mountain St,0,BUS ZN
49.274765,60014,-123.116234,10513,,,,Westbound Expo Blvd @ Nelson St,0,BUS ZN
49.210902,52606,-122.955497,2631,,,,Southbound Griffiths Dr @ Southpoint Dr,0,BUS ZN
49.220256,59887,-122.556606,10516,,,,Eastbound Dewdney Trunk Rd @ 240 St,0,BUS ZN
49.268769,51925,-123.258526,10514,,,,Eastbound NW Marine Dr @ West Mall,0,BUS ZN
49.261831,50683,-123.056764,690,,,,Southbound Nanaimo St @ E Broadway,0,BUS ZN
49.260804,58130,-123.033608,8860,,,,Rupert Station @ Bay 1,0,BUS ZN
49.30557,58457,-123.013426,8861,,,,Eastbound Dollarton Hwy @ Riverside Dr,0,BUS ZN
49.218926,50811,-123.128765,818,,,,Southbound Oak St @ W 57 Ave,0,BUS ZN
49.216857,50812,-123.129581,819,,,,Southbound Oak St @ W 59 Ave,0,BUS ZN
49.2338,50804,-123.126888,811,,,,Eastbound W 41 Ave @ Oak St,0,BUS ZN
49.233541,50805,-123.128231,812,,,,Southbound Oak St @ W 41 Ave,0,BUS ZN
49.231779,50806,-123.128278,813,,,,Southbound Oak St @ W 43 Ave,0,BUS ZN
49.229046,50807,-123.128376,814,,,,Southbound Oak St @ W 46 Ave,0,BUS ZN
